Date,Coin,Price,Open,High,Low,Vol.,Change %
11/12/2023,ETH,2225.34,2352.26,2355.02,2164.16,678.03K,-5.40%
10/12/2023,ETH,2352.26,2340.55,2376.57,2324.18,206.78K,0.50%
9/12/2023,ETH,2340.55,2358.42,2401.34,2332.36,304.64K,-0.76%
8/12/2023,ETH,2358.42,2355.78,2389.36,2340.88,397.41K,0.11%
7/12/2023,ETH,2355.80,2233.45,2381.65,2224.61,518.61K,5.48%
6/12/2023,ETH,2233.45,2293.36,2310.20,2223.15,431.57K,-2.61%
5/12/2023,ETH,2293.34,2243.30,2302.29,2190.96,561.41K,2.22%
4/12/2023,ETH,2243.54,2192.79,2272.26,2191.43,601.45K,2.31%
3/12/2023,ETH,2192.79,2164.79,2215.46,2150.58,279.65K,1.29%
2/12/2023,ETH,2164.79,2087.21,2179.73,2086.29,344.20K,3.72%
1/12/2023,ETH,2087.21,2051.59,2109.32,2045.39,402.51K,1.74%
30/11/2023,ETH,2051.56,2028.99,2054.33,2021.44,252.49K,1.11%
29/11/2023,ETH,2028.99,2048.47,2071.36,2020.31,269.97K,-0.95%
28/11/2023,ETH,2048.47,2027.51,2074.79,1996.19,312.94K,1.03%
27/11/2023,ETH,2027.51,2062.30,2071.13,1987.43,354.28K,-1.70%
26/11/2023,ETH,2062.64,2082.91,2092.80,2038.28,259.79K,-0.98%
25/11/2023,ETH,2083.09,2080.63,2089.64,2065.17,154.35K,0.12%
24/11/2023,ETH,2080.62,2061.92,2129.20,2059.23,460.97K,0.91%
23/11/2023,ETH,2061.92,2063.05,2088.20,2040.66,264.01K,-0.06%
22/11/2023,ETH,2063.05,1934.62,2090.01,1930.66,506.35K,6.64%
21/11/2023,ETH,1934.62,2021.49,2034.51,1932.50,527.41K,-4.30%
20/11/2023,ETH,2021.49,2011.02,2064.05,1994.89,455.23K,0.52%
19/11/2023,ETH,2011.01,1961.72,2014.93,1943.63,269.02K,2.51%
18/11/2023,ETH,1961.72,1960.80,1971.02,1920.13,298.88K,0.05%
17/11/2023,ETH,1960.80,1961.77,1990.24,1908.24,430.92K,-0.05%
16/11/2023,ETH,1961.76,2058.93,2089.44,1940.44,585.12K,-4.72%
15/11/2023,ETH,2058.93,1979.40,2060.95,1967.97,455.57K,4.03%
14/11/2023,ETH,1979.10,2054.15,2064.51,1943.01,521.22K,-3.66%
13/11/2023,ETH,2054.18,2044.61,2115.24,2031.01,578.44K,0.47%
12/11/2023,ETH,2044.61,2053.40,2065.35,2020.76,354.64K,-0.43%
11/11/2023,ETH,2053.42,2077.72,2089.24,2033.56,405.96K,-1.17%
10/11/2023,ETH,2077.78,2120.16,2135.91,2068.79,640.31K,-2.00%
9/11/2023,ETH,2120.16,1888.42,2131.31,1882.91,1.21M,12.22%
8/11/2023,ETH,1889.29,1885.95,1903.67,1873.47,265.08K,0.18%
7/11/2023,ETH,1885.97,1900.98,1906.55,1852.05,370.10K,-0.79%
6/11/2023,ETH,1900.98,1891.81,1913.13,1870.00,359.00K,0.46%
5/11/2023,ETH,1892.36,1855.72,1911.00,1846.57,418.91K,1.97%
4/11/2023,ETH,1855.72,1832.31,1868.52,1824.40,190.18K,1.28%
3/11/2023,ETH,1832.29,1800.28,1834.16,1779.79,337.00K,1.78%
2/11/2023,ETH,1800.27,1846.60,1873.02,1789.00,398.43K,-2.51%
1/11/2023,ETH,1846.60,1815.12,1857.00,1783.98,509.01K,1.73%
31/10/2023,ETH,1815.13,1809.05,1819.43,1783.32,279.11K,0.34%
30/10/2023,ETH,1809.05,1794.96,1829.47,1778.59,304.47K,0.78%
29/10/2023,ETH,1794.96,1776.21,1809.98,1764.08,156.39K,1.06%
28/10/2023,ETH,1776.21,1779.54,1801.12,1772.08,134.10K,-0.19%
27/10/2023,ETH,1779.54,1803.38,1803.63,1751.77,298.24K,-1.31%
26/10/2023,ETH,1803.13,1787.00,1864.81,1764.43,471.17K,0.90%
25/10/2023,ETH,1787.00,1784.88,1814.21,1761.39,389.39K,0.12%
24/10/2023,ETH,1784.88,1763.79,1853.31,1757.32,750.21K,1.20%
23/10/2023,ETH,1763.75,1663.35,1791.99,1657.57,672.28K,6.04%
22/10/2023,ETH,1663.35,1628.94,1667.50,1623.29,246.68K,2.11%
21/10/2023,ETH,1628.94,1603.89,1642.33,1592.41,188.94K,1.56%
20/10/2023,ETH,1603.89,1566.78,1629.26,1561.62,343.61K,2.37%
19/10/2023,ETH,1566.79,1563.43,1573.48,1543.87,238.42K,0.21%
18/10/2023,ETH,1563.43,1564.99,1583.77,1556.15,199.43K,-0.10%
17/10/2023,ETH,1564.99,1599.48,1600.49,1553.63,250.22K,-2.16%
16/10/2023,ETH,1599.48,1557.79,1635.46,1555.13,452.69K,2.69%
15/10/2023,ETH,1557.66,1554.96,1565.80,1550.05,128.70K,0.17%
14/10/2023,ETH,1554.96,1552.17,1559.94,1545.32,107.26K,0.18%
13/10/2023,ETH,1552.17,1539.70,1574.08,1538.07,208.91K,0.81%
12/10/2023,ETH,1539.70,1566.88,1568.47,1523.78,260.59K,-1.73%
11/10/2023,ETH,1566.88,1567.62,1578.16,1549.16,279.01K,-0.05%
10/10/2023,ETH,1567.60,1579.77,1593.73,1552.34,255.41K,-0.77%
9/10/2023,ETH,1579.74,1632.85,1635.13,1550.10,372.11K,-3.25%
8/10/2023,ETH,1632.85,1633.58,1641.30,1616.80,159.27K,-0.04%
7/10/2023,ETH,1633.58,1640.59,1643.25,1630.18,107.55K,-0.73%
6/10/2023,ETH,1645.62,1611.58,1659.99,1611.58,238.24K,2.11%
5/10/2023,ETH,1611.58,1646.61,1654.03,1609.54,253.05K,-2.15%
4/10/2023,ETH,1647.05,1656.88,1657.61,1630.48,243.08K,-0.59%
3/10/2023,ETH,1656.88,1662.79,1670.45,1644.05,216.11K,-0.36%
2/10/2023,ETH,1662.79,1732.90,1742.42,1638.04,412.81K,-4.05%
1/10/2023,ETH,1732.89,1670.92,1741.94,1668.94,245.32K,3.71%
30/09/2023,ETH,1670.92,1667.71,1693.68,1666.25,147.60K,0.19%
29/09/2023,ETH,1667.72,1652.89,1686.63,1648.47,273.45K,0.90%
28/09/2023,ETH,1652.89,1598.53,1667.61,1598.16,354.03K,3.40%
27/09/2023,ETH,1598.49,1594.05,1633.50,1585.28,307.59K,0.28%
26/09/2023,ETH,1594.04,1588.62,1597.67,1580.60,141.61K,0.34%
25/09/2023,ETH,1588.62,1580.55,1596.57,1564.70,191.41K,0.51%
24/09/2023,ETH,1580.55,1593.89,1600.37,1573.94,144.30K,-0.84%
23/09/2023,ETH,1593.89,1593.10,1597.96,1587.79,69.31K,0.05%
22/09/2023,ETH,1593.10,1584.03,1601.79,1578.78,135.12K,0.57%
21/09/2023,ETH,1584.03,1622.28,1625.31,1569.03,264.25K,-2.36%
20/09/2023,ETH,1622.28,1643.14,1649.17,1610.14,253.88K,-1.27%
19/09/2023,ETH,1643.08,1636.88,1659.53,1627.31,201.84K,0.38%
18/09/2023,ETH,1636.92,1622.63,1668.87,1609.69,302.35K,0.88%
17/09/2023,ETH,1622.65,1634.41,1635.00,1612.87,127.49K,-0.72%
16/09/2023,ETH,1634.41,1641.31,1650.04,1631.74,107.11K,-0.42%
15/09/2023,ETH,1641.31,1626.49,1652.40,1612.25,194.29K,0.91%
14/09/2023,ETH,1626.49,1607.63,1639.23,1607.08,293.64K,1.17%
13/09/2023,ETH,1607.63,1592.50,1614.43,1582.03,238.31K,0.95%
12/09/2023,ETH,1592.50,1551.89,1617.39,1549.71,354.59K,2.62%
11/09/2023,ETH,1551.89,1617.44,1618.80,1533.95,444.95K,-4.05%
10/09/2023,ETH,1617.44,1635.56,1635.72,1604.26,220.97K,-1.11%
9/09/2023,ETH,1635.56,1636.45,1637.21,1630.12,63.97K,-0.05%
8/09/2023,ETH,1636.45,1648.09,1657.53,1618.39,236.38K,-0.71%
7/09/2023,ETH,1648.09,1633.18,1658.04,1624.07,243.55K,0.91%
6/09/2023,ETH,1633.18,1634.46,1667.08,1610.49,240.73K,-0.08%
5/09/2023,ETH,1634.46,1630.53,1647.67,1610.02,219.79K,0.24%
4/09/2023,ETH,1630.51,1635.86,1643.31,1618.49,178.25K,-0.33%
3/09/2023,ETH,1635.85,1637.05,1645.16,1625.61,124.14K,-0.07%
2/09/2023,ETH,1637.05,1629.00,1644.63,1628.11,109.03K,0.49%
1/09/2023,ETH,1629.00,1645.82,1654.39,1603.67,319.19K,-1.02%
31/08/2023,ETH,1645.82,1705.23,1723.95,1634.74,355.27K,-3.48%
30/08/2023,ETH,1705.22,1729.69,1730.71,1696.99,218.44K,-1.41%
29/08/2023,ETH,1729.69,1653.22,1742.83,1640.29,528.63K,4.63%
28/08/2023,ETH,1653.22,1658.34,1660.80,1628.79,229.39K,-0.31%
27/08/2023,ETH,1658.33,1647.05,1660.11,1646.35,94.20K,0.68%
26/08/2023,ETH,1647.05,1653.74,1655.58,1644.04,84.34K,-0.40%
25/08/2023,ETH,1653.74,1661.18,1676.13,1636.77,250.86K,-0.43%
24/08/2023,ETH,1660.89,1679.93,1683.03,1642.45,246.62K,-1.13%
23/08/2023,ETH,1679.93,1634.30,1697.63,1629.86,399.71K,2.79%
22/08/2023,ETH,1634.29,1667.60,1669.22,1588.36,424.51K,-2.00%
21/08/2023,ETH,1667.60,1685.24,1686.11,1651.77,265.91K,-1.05%
20/08/2023,ETH,1685.24,1669.68,1692.47,1662.82,205.82K,0.93%
19/08/2023,ETH,1669.67,1661.27,1693.88,1654.35,243.31K,0.51%
18/08/2023,ETH,1661.26,1681.51,1698.77,1646.32,572.90K,-1.34%
17/08/2023,ETH,1683.89,1807.81,1809.81,1560.88,876.70K,-6.85%
16/08/2023,ETH,1807.81,1828.98,1831.52,1803.31,217.47K,-1.16%
15/08/2023,ETH,1828.98,1845.51,1847.35,1816.32,196.60K,-0.90%
14/08/2023,ETH,1845.51,1840.73,1856.48,1835.90,158.11K,0.26%
13/08/2023,ETH,1840.73,1849.94,1861.50,1835.51,126.51K,-0.50%
12/08/2023,ETH,1849.94,1848.88,1853.54,1846.13,66.93K,0.06%
11/08/2023,ETH,1848.88,1852.46,1857.17,1840.65,120.55K,-0.19%
10/08/2023,ETH,1852.46,1855.36,1865.94,1847.34,134.21K,-0.16%
9/08/2023,ETH,1855.36,1856.24,1870.48,1846.76,203.58K,-0.05%
8/08/2023,ETH,1856.24,1829.10,1871.77,1826.40,253.39K,1.48%
7/08/2023,ETH,1829.11,1830.28,1846.41,1805.30,243.92K,-0.06%
6/08/2023,ETH,1830.28,1836.48,1838.08,1826.12,100.32K,-0.34%
